STATE,SA2NAME,Mean,Lowest quintile,Second quintile,Third quintile,Fourth quintile,Highest quintile,Median,AusRanking,StateRanking
VIC,Melton South,4259,981,2480,3660,5063,9110,3661,300,157
VIC,Melton West,4601,1311,2948,4120,5475,9144,4127,527,222
VIC,Rockbank - Mount Cottrell,8658,2101,5113,7473,10443,18107,7543,1842,423
VIC,Taylors Hill,4830,1711,3431,4480,5686,8843,4466,716,272
VIC,Hoppers Crossing - North,4773,1666,2971,4114,5566,9543,4100,514,218
VIC,Hoppers Crossing - South,4697,1630,2948,4104,5534,9266,4109,519,220
VIC,Laverton,4028,1128,2350,3417,4811,8429,3382,160,84
VIC,Point Cook,4408,1166,2817,3939,5274,8843,3925,433,194
VIC,Tarneit,4116,1178,2634,3654,4915,8196,3648,292,152
VIC,Truganina,3546,757,2200,3130,4264,7379,3121,68,39
VIC,Werribee,4644,1369,2664,3842,5413,9932,3836,385,182
VIC,Werribee - South,5206,1432,2845,4145,5852,11756,4128,529,223
VIC,Wyndham Vale,4243,1257,2669,3786,5109,8388,3784,359,176
VIC,Carrum Downs,4261,1314,2659,3722,5048,8557,3709,317,162
VIC,Frankston,4475,1249,2559,3737,5282,9547,3724,323,165
VIC,Frankston North,4348,1265,2523,3634,5121,9198,3643,285,149
VIC,Frankston South,5276,1686,3214,4552,6287,10630,4531,761,286
VIC,Langwarrin,5373,1584,3169,4524,6237,11348,4517,751,284
VIC,Seaford (Vic.),4220,1177,2496,3657,5103,8663,3660,298,156
VIC,Skye - Sandhurst,5024,1571,3285,4462,5953,9844,4450,708,271
VIC,Dromana,3635,534,1531,2697,4343,9069,2686,14,6
VIC,Flinders,7632,1207,3375,5730,9075,18762,5723,1325,362
VIC,Hastings - Somers,5085,1159,2751,4124,5922,11467,4099,513,217
VIC,Mornington,4444,1152,2507,3689,5195,9677,3680,307,158
VIC,Mount Eliza,6869,1916,3962,5749,8051,14662,5723,1325,362
VIC,Mount Martha,5246,1384,3036,4429,6172,11212,4410,695,267
VIC,Point Nepean,3836,646,1619,2751,4509,9652,2735,17,9
VIC,Rosebud - McCrae,3730,601,1701,2923,4557,8866,2912,31,17
VIC,Somerville,6140,1701,3372,4868,6981,13774,4863,931,310
VIC,Alfredton,4962,1189,2975,4312,5942,10386,4289,622,252
VIC,Ballarat,3932,1071,2187,3225,4608,8564,3238,105,58
VIC,Ballarat - North,4438,1116,2368,3509,5059,10137,3494,203,104
VIC,Ballarat - South,3851,1100,2201,3205,4528,8221,3193,90,51
VIC,Buninyong,5945,1608,3331,4828,6758,13187,4820,905,308
VIC,Delacombe,4855,1359,2884,4095,5604,10324,4126,525,221
VIC,Smythes Creek,8051,2605,5526,7268,9457,15397,7292,1800,419
VIC,Wendouree - Miners Rest,4167,1211,2377,3426,4749,9069,3422,176,90
VIC,Bacchus Marsh Region,6108,1003,3130,5093,7527,13771,5062,1027,324
VIC,Creswick - Clunes,6509,1319,3642,5600,7925,14033,5590,1277,354
VIC,Daylesford,5097,774,2414,4073,6289,11928,4027,478,209
VIC,Gordon (Vic.),6778,1208,3935,6045,8529,14154,6031,1448,380
VIC,Avoca,5648,1003,3279,5066,7080,11720,5034,1017,322
VIC,Beaufort,6408,1315,3939,5797,7927,13057,5790,1357,371
VIC,Golden Plains - North,6218,1263,3725,5569,7644,12888,5587,1275,353
VIC,Maryborough (Vic.),4325,1053,2397,3563,5159,9456,3538,229,117
VIC,Maryborough Region,5428,980,2994,4733,6660,11762,4701,855,304
VIC,Bendigo,4318,1197,2440,3550,5055,9345,3541,232,120
VIC,California Gully - Eaglehawk,4220,989,2413,3655,5184,8860,3650,295,155
VIC,East Bendigo - Kennington,4523,1293,2560,3632,5217,9898,3625,272,140
VIC,Flora Hill - Spring Gully,4329,1211,2489,3700,5186,9047,3699,311,160
VIC,Kangaroo Flat - Golden Square,4312,1229,2533,3632,5052,9114,3618,267,137
VIC,Maiden Gully,7540,2204,4578,6557,9074,15289,6524,1629,400
VIC,Strathfieldsaye,7089,1859,4207,5952,8268,15146,5927,1408,373
VIC,White Hills - Ascot,4930,995,2806,4166,5819,10860,4157,548,231
VIC,Bendigo Region - South,7867,1601,4928,7106,9658,16043,7066,1764,416
VIC,Castlemaine,4137,930,2113,3248,4842,9544,3228,99,55
VIC,Castlemaine Region,5948,1001,3236,5167,7451,12873,5166,1079,331
VIC,Heathcote,5645,893,3057,4883,6897,12470,4868,934,311
VIC,Kyneton,5653,1110,2726,4409,6693,13321,4400,689,264
VIC,Woodend,7868,2020,4517,6653,9392,16739,6664,1673,407
VIC,Bendigo Region - North,6785,1436,4112,6078,8409,13869,6000,1436,377
VIC,Loddon,6010,930,3336,5334,7512,12923,5299,1149,338
VIC,Bannockburn,7889,1855,4988,7055,9479,16046,6983,1741,410
VIC,Golden Plains - South,7215,1620,4495,6591,8872,14485,6591,1651,404
VIC,Winchelsea,7596,1992,4793,6900,9212,15070,6910,1730,409
VIC,Belmont,3889,1127,2323,3344,4627,8021,3332,139,74
VIC,Corio - Norlane,3958,1158,2251,3305,4641,8435,3303,126,69
VIC,Geelong,3880,983,2137,3215,4604,8458,3199,91,52
VIC,Geelong West - Hamlyn Heights,3825,1033,2175,3267,4639,8008,3253,113,64
VIC,Grovedale,4537,1369,2687,3840,5298,9487,3822,374,179
VIC,Highton,5155,1459,3078,4396,6025,10812,4384,678,262
VIC,Lara,5740,1489,3231,4719,6685,12571,4689,850,302
VIC,Leopold,4556,1084,2707,3928,5411,9650,3925,433,194
VIC,Newcomb - Moolap,4734,1065,2395,3568,5412,11211,3533,227,116
VIC,Newtown (Vic.),4876,1222,2649,4050,5810,10643,4050,488,211
VIC,North Geelong - Bell Park,4252,1245,2500,3578,5041,8893,3569,250,129
VIC,Clifton Springs,5221,1345,3110,4513,6223,10910,4498,737,282
VIC,Lorne - Anglesea,4241,947,2129,3253,4944,9933,3240,106,59
VIC,Ocean Grove - Barwon Heads,4619,856,2349,3760,5585,10543,3741,330,168
VIC,Portarlington,3711,578,1609,2794,4528,9041,2762,20,12
VIC,Queenscliff,3259,655,1493,2405,3832,7903,2393,9,4
VIC,Torquay,5221,1100,2833,4375,6274,11519,4345,650,257
VIC,Alexandra,5922,760,2760,4890,7301,13893,4868,934,311
VIC,Euroa,4960,820,2495,4056,6027,11386,4071,499,214
VIC,Kilmore - Broadford,5625,1316,3036,4492,6515,12762,4492,731,281
VIC,Mansfield (Vic.),5731,575,2091,4221,7009,14738,4220,586,241
VIC,Nagambie,5914,962,3245,5084,7226,13036,5102,1047,326
VIC,Seymour,4513,1080,2318,3499,5221,10437,3454,188,96
VIC,Seymour Region,6568,1387,3807,5604,8048,13971,5616,1288,358
VIC,Upper Yarra Valley,5196,328,1739,4151,7317,12157,4361,661,259
VIC,Yea,6076,949,3332,5256,7372,13457,5244,1117,335
VIC,Benalla,4459,1015,2272,3465,5188,10349,3426,177,91
VIC,Benalla Region,6320,1172,3775,5774,7701,13094,5768,1346,369
VIC,Rutherglen,6049,1482,3391,5040,7164,13167,5018,1006,320
VIC,Wangaratta,4296,1151,2366,3487,4982,9488,3469,195,99
VIC,Wangaratta Region,7220,1200,4193,6292,8762,15569,6275,1540,390
VIC,Beechworth,6419,1416,3856,5603,7729,13474,5597,1281,357
VIC,Bright - Mount Beauty,6809,805,3176,5515,8324,16217,5515,1243,348
VIC,Chiltern - Indigo Valley,6419,1602,3834,5742,7786,13061,5751,1341,368
VIC,Myrtleford,7816,1643,4671,6698,9440,16614,6634,1666,405
VIC,Towong,6141,885,3513,5574,7678,13046,5595,1280,356
VIC,West Wodonga,4530,1505,2737,3843,5311,9254,3829,382,181
VIC,Wodonga,4536,1192,2537,3706,5299,9943,3693,310,159
VIC,Yackandandah,7153,1621,4384,6354,8621,14675,6345,1558,392
VIC,Drouin,4854,1084,2606,3853,5576,11148,3824,377,180
VIC,Mount Baw Baw Region,6313,995,3471,5540,7774,13785,5554,1259,351
VIC,Trafalgar (Vic.),5487,1131,2839,4334,6352,12768,4316,635,254
VIC,Warragul,4602,1064,2396,3569,5314,10667,3540,231,119
VIC,Alps - East,,,,,,,,#N/A,#N/A
VIC,Bairnsdale,5983,1786,3768,5299,7175,11884,5301,1150,339
VIC,Bruthen - Omeo,5711,1101,3390,5148,7121,11719,5142,1070,330
VIC,Lake King,,,,,,,,#N/A,#N/A
VIC,Lakes Entrance,5228,986,2841,4542,6410,11362,4548,772,288
VIC,Orbost,4730,524,2355,4132,6093,10531,4130,531,224
VIC,Paynesville,4792,792,2544,4156,5927,10532,4181,562,235
VIC,Foster,4375,439,1548,3194,5615,11072,3136,76,44
